日期,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,武汉,江苏,江西,河北,河南,浙江,海南,温州,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
2020-01-18,34.87921974514112,8.67111833185736,2.0569055180665874,13.30625694372148,2.5688529187088047,29.063411728646273,2.6089937425046474,1.08361954963664,45.32980681399357,19.73658253628528,8.360971207300997,45.09624211891161,11.550758840493495,2.6654936915328724,294.2327378117289,29.631866985296607,54.023395534223425,17.279387409836065,117.84203266249789,23.298978273584584,5.094317741828631,4.860004796755113,0.0,109.59669271292886,5.53498996112895,18.25889783606557,0.18652149400033802,12.158954161906372,5.067925075274632,54.88713320939666,26.220417574852117,0.7270646954875781,3.965229728578673
2020-01-19,20.66345097977506,18.542494892812943,4.7896758006182285,25.42041041485168,5.692571102095112,68.84897835996118,5.09610076385047,2.2733750328566678,88.11992328959204,39.9129264562687,17.922538404666707,97.34150444008789,40.98732897607222,3.7758048810240585,596.2342916087654,56.611792080577004,122.99998196034173,34.58386642142433,247.7607617846358,45.76327460145125,11.946233794957122,9.861961501378751,3.618692427921735,226.70195232243896,11.942785087122395,39.48614993105267,0.29285567877139135,26.369612543991888,11.154135031356342,108.47063615146517,54.35291389707622,1.1813600756028284,9.022870014730655
2020-01-20,34.45989374711663,47.053033471279576,21.781718713580368,36.922813750012835,18.547783502484016,158.02174816000453,21.655483299679805,4.419097018664562,182.43365686761024,107.43217095869244,57.49614892062506,152.0047711925784,269.6570308146264,7.749932662822292,820.9715583295704,119.88639921679618,277.5844082080698,203.7823295487682,490.65932238649293,85.99297403647655,30.098212516514003,19.797900933796214,81.64523561574701,531.9454605590461,26.56667519185538,85.56905891056732,0.6577313358422445,70.39103005232212,34.28485983182816,200.94745314556553,99.32193992895165,2.3765183816993827,28.064516718495817
2020-01-21,58.759857581275185,85.30695607847382,52.84804041438887,67.4173591316064,44.1277177959183,351.0130659049839,45.36434344376527,8.221420435589927,524.2193522461221,262.88526353451346,127.54564563979048,263.8102361882298,401.33982951024416,14.031539881085525,1029.7749501412382,381.00081970391085,477.7805954961467,493.6847786179641,887.7497960871375,190.3389460564943,54.0751165654397,46.0442084527732,207.44421098930172,850.8605024774339,55.21227965200815,159.7293794445926,1.036519564001462,136.84737691785875,82.39576141374978,324.8068650253837,171.7842398424756,4.259672367728165,64.36165827439471
2020-01-22,74.03860199815942,98.13765898848932,77.14482641950408,84.42724843841562,61.60806195610903,409.01506959277367,66.84102514446288,10.67862617872423,706.5236341391278,354.6277192502824,169.495157982777,301.73003914943274,356.16748055135525,16.226931167108926,732.3432973315608,590.6874114321114,510.2818783143011,733.6396683153216,952.09141853119,246.01132293201294,61.966866208904705,60.388873660816685,231.889034290428,811.3472603831883,66.10535716502213,184.04530597478615,1.6495561848424969,142.05602121004983,112.62625691878885,331.10854348930167,186.2687971311207,5.660732546138218,85.86459237019686
2020-01-23,147.75235174349112,161.88090982503724,119.82749564236137,119.64501082388168,95.82290794177823,811.2670119668279,100.88536071255625,17.35052635621098,1051.102326769557,518.7861073242257,253.64283561779203,465.60135405934454,369.1255480234513,24.728742406540448,574.0390486441925,807.0854255881163,671.5916601828083,1150.1063359846423,1204.6937194162515,327.1969455805748,90.20633719877053,122.82149298473217,323.23604934861254,894.5227030829594,118.82970122643248,255.2536183534061,3.4897784690429825,250.41991044629063,168.1882176661003,417.4462150035937,257.24218400087585,10.462505150742988,130.54600521736026
2020-01-24,189.76329513539025,214.86948088703093,131.74734950499032,169.14284283237316,123.68959188724389,1173.6747893090785,114.42702870681312,25.463600314271904,1102.4777829226555,592.0276651178743,272.1164354245741,606.5133425076657,383.8488088887296,28.873005183214286,422.0895187376061,1020.3683833451598,682.2787775084562,1122.7717323331174,1191.9473485609096,474.4336036892034,113.18318447648136,136.80009605178728,297.2555967087923,905.3263476663741,137.72324417962264,285.77441526527946,4.90741722440139,313.74867542730243,191.01237882159774,488.2130324210232,305.2486887211232,14.453520074101803,150.95542751076587
2020-01-25,263.40659725688573,183.9098320584892,107.25705096493003,229.93065756882626,98.33893428224133,1038.0467891022977,114.5218430039623,29.127761390871104,827.03875201287,429.684908105621,211.23100759416045,1077.1666156721712,295.01543729891665,35.248483054008986,540.7240486902044,846.6977843016813,578.7416449544776,771.2984298561541,986.2042287646706,472.163308157567,108.21647852937645,113.82468309661587,186.87588019581926,1019.9041834697834,133.6048343586289,225.56002908056894,5.27530044025472,327.78782942579994,138.5736022548959,357.51086324759274,333.6650120954809,18.74534025069091,111.05466813201222
2020-01-26,554.782930598018,245.0049984220952,153.40108302866977,482.72553101345727,125.93455702187255,1269.2715127541358,193.32199355668152,43.812922822585726,758.7972290074222,466.6315452969462,218.5467806069194,3168.4258029689313,357.4596011044878,44.00655018032641,613.9663556762939,1222.4838530193342,535.1535874503885,738.9757607939841,769.9631270174875,844.9178501467143,90.29120255266885,133.17398970103008,132.58336991129806,1109.4306398037838,164.25862380353905,327.23413310985455,7.679078574326266,501.5831839895111,167.56149159194405,574.3331489999523,393.86520275871067,30.415484491858678,102.801331729936
2020-01-27,734.0213967394081,339.3394315045125,161.079220814918,598.5836456909109,145.24874176553757,1058.191919799295,211.80602405848856,60.69159022864653,633.0789696946941,423.5302622730014,195.83559651785143,3702.1312178120324,325.741204452063,60.23344806996381,1108.9982254816557,1370.8821613067503,427.5234444968801,612.1940295732786,739.067976400967,850.5019465713176,87.51230301267695,140.3024410006096,108.1396942027054,907.9097909755633,195.79982699648733,370.7146108502326,8.103888607719625,464.3782965344932,212.01180769812999,620.9354925136021,381.44876658622314,42.6300872720361,118.67662949367654
2020-01-28,882.0059700016755,242.72609692270234,139.83559085122386,573.3337699512329,139.05552136959028,832.5429539817299,185.2626550611015,58.43808261701602,529.072760604177,345.6719261213405,161.65568163396304,2857.3204511887907,312.77673737599616,69.85699857956642,1332.3899187962995,1372.0710910731,395.60928402632334,490.2089001938372,685.0946654719947,765.8518524011955,63.34180241972298,131.01248041126854,106.26144387204856,818.6841674152367,149.56786811895438,340.0503391226171,9.496797926150222,432.91182218133895,205.9698076651324,562.1842067356966,322.7486115163772,43.072304620237105,120.24573403704476
2020-01-29,983.340496540774,226.7680971957919,109.69311111301751,598.0866284064267,115.73506359634405,674.1164724123635,183.40716191842304,46.714094540146384,483.56059801883697,313.89798342040086,137.0226672801147,2910.5441255891697,325.5914945680813,67.82626682856969,1575.3104501576645,1252.6584639810112,418.61458291905024,391.7380841461235,679.7083371641851,778.4601905981019,62.812827975711556,138.19346561407835,103.27916739318974,854.2051083750309,115.03458196887397,370.14570621042833,8.613159361739793,399.287029251613,186.60430954048863,641.9976727554135,315.25697635164033,41.755694948563125,106.56200311568223
2020-01-30,1096.1720503655672,241.0723353105955,113.63523572242724,634.826973723975,115.59640747277346,674.1486319672723,210.37612928529143,42.48482575929834,478.45861411596945,317.7587319523671,144.72112256481523,2798.1552665318322,364.19703536059285,68.72438693107664,1537.8887131993815,1181.9208590105115,412.4812745302055,400.8692978667696,630.5928796133375,815.9786109390889,67.24610666199196,123.68507200348397,112.09108304407263,847.140288944306,114.34310498176914,461.6542905323364,10.839750627060226,407.93499132470714,187.68592173463523,602.1305776736957,305.4120600381173,36.01803124697716,102.61612096167083
