地区 面积（万平方千米）
新疆 166
西藏 122.84
内蒙古 118.3
青海 72.23
四川 48.14
黑龙江 45.48
甘肃 45.44
云南 38.33
广西 23.67
湖南 21.18
陕西 20.56
河北 18.77
吉林 18.74
湖北 18.59
广东 17.97
贵州 17.6167
江西 16.69
河南 16.7
山西 15.63
山东 15.38
辽宁 14.59
安徽 13.97
福建 12.13
江苏 10.26
浙江 10.2
重庆 8.2402
宁夏 6.64
台湾 3.61928155
海南 3.54
北京 1.68
天津 1.13
上海 0.63
香港 0.1101
澳门 0.00254
武汉 0.85
