日期,省,比例
2020-01-13,山东,0.0576
2020-01-13,江苏,0.0572
2020-01-13,天津,0.0446
2020-01-13,浙江,0.0238
2020-01-13,上海,0.0228
2020-01-13,广东,0.0219
2020-01-13,湖北,0.0195
2020-01-13,辽宁,0.017
2020-01-13,四川,0.017
2020-01-13,安徽,0.0117
2020-01-13,湖南,0.0103
2020-01-13,福建,0.0103
2020-01-13,重庆,0.0089
2020-01-13,吉林,0.0086
2020-01-13,甘肃,0.008199999999999999
2020-01-13,海南,0.006500000000000001
2020-01-13,广西,0.0064
2020-01-13,云南,0.0063
2020-01-13,黑龙江,0.0061
2020-01-13,江西,0.006
2020-01-13,宁夏,0.0058
2020-01-13,新疆,0.005699999999999999
2020-01-13,贵州,0.0031
2020-01-13,青海,0.0028000000000000004
2020-01-13,西藏,0.0006
2020-01-14,河北,0.149
2020-01-14,陕西,0.13699999999999998
2020-01-14,北京,0.1352
2020-01-14,河南,0.1094
2020-01-14,内蒙古,0.0776
2020-01-14,江苏,0.0625
2020-01-14,山东,0.049400000000000006
2020-01-14,天津,0.0425
2020-01-14,浙江,0.0274
2020-01-14,广东,0.0253
2020-01-14,上海,0.0235
2020-01-14,湖北,0.0183
2020-01-14,四川,0.0166
2020-01-14,辽宁,0.016200000000000003
2020-01-14,安徽,0.0132
2020-01-14,福建,0.0106
2020-01-14,重庆,0.0095
2020-01-14,湖南,0.0093
2020-01-14,甘肃,0.009000000000000001
2020-01-14,宁夏,0.006999999999999999
2020-01-14,广西,0.006500000000000001
2020-01-14,海南,0.0064
2020-01-14,云南,0.006
2020-01-14,吉林,0.006
2020-01-14,新疆,0.006
2020-01-14,江西,0.0058
2020-01-14,黑龙江,0.0058
2020-01-14,贵州,0.0032
2020-01-14,青海,0.0031
2020-01-14,西藏,0.0004
2020-01-15,河北,0.15039999999999998
2020-01-15,北京,0.1475
2020-01-15,陕西,0.1317
2020-01-15,河南,0.0983
2020-01-15,内蒙古,0.0774
2020-01-15,江苏,0.061
2020-01-15,山东,0.054000000000000006
2020-01-15,天津,0.041100000000000005
2020-01-15,浙江,0.0312
2020-01-15,广东,0.027000000000000003
2020-01-15,上海,0.0254
2020-01-15,湖北,0.0174
2020-01-15,四川,0.0173
2020-01-15,辽宁,0.0143
2020-01-15,安徽,0.0132
2020-01-15,湖南,0.0091
2020-01-15,福建,0.0089
2020-01-15,重庆,0.0086
2020-01-15,甘肃,0.0084
2020-01-15,宁夏,0.0067
2020-01-15,云南,0.006500000000000001
2020-01-15,广西,0.0064
2020-01-15,海南,0.0063
2020-01-15,新疆,0.0061
2020-01-15,黑龙江,0.005699999999999999
2020-01-15,江西,0.005699999999999999
2020-01-15,吉林,0.0045000000000000005
2020-01-15,贵州,0.0041
2020-01-15,青海,0.003
2020-01-15,西藏,0.0006
2020-01-16,北京,0.17489999999999994
2020-01-16,河北,0.1573
2020-01-16,陕西,0.123
2020-01-16,内蒙古,0.076
2020-01-16,河南,0.0721
2020-01-16,江苏,0.0601
2020-01-16,山东,0.055
2020-01-16,天津,0.0499
2020-01-16,浙江,0.0315
2020-01-16,广东,0.0265
2020-01-16,上海,0.025
2020-01-16,四川,0.0181
2020-01-16,辽宁,0.0159
2020-01-16,湖北,0.0138
2020-01-16,安徽,0.011
2020-01-16,重庆,0.0096
2020-01-16,福建,0.0086
2020-01-16,湖南,0.008
2020-01-16,云南,0.0074
2020-01-16,宁夏,0.0068000000000000005
2020-01-16,海南,0.0067
2020-01-16,甘肃,0.0066
2020-01-16,新疆,0.0064
2020-01-16,广西,0.0061
2020-01-16,江西,0.0054
2020-01-16,黑龙江,0.004699999999999999
2020-01-16,吉林,0.0045000000000000005
2020-01-16,贵州,0.0036
2020-01-16,青海,0.0023
2020-01-16,西藏,0.0007000000000000001
2020-01-17,北京,0.171
2020-01-17,河北,0.1382
2020-01-17,陕西,0.1195
2020-01-17,河南,0.0925
2020-01-17,内蒙古,0.0703
2020-01-17,江苏,0.0699
2020-01-17,山东,0.0508
2020-01-17,天津,0.0426
2020-01-17,浙江,0.0363
2020-01-17,广东,0.0297
2020-01-17,上海,0.0279
2020-01-17,四川,0.0193
2020-01-17,湖北,0.0148
2020-01-17,辽宁,0.0142
2020-01-17,安徽,0.011200000000000002
2020-01-17,福建,0.0103
2020-01-17,重庆,0.0098
2020-01-17,湖南,0.0087
2020-01-17,甘肃,0.0074
2020-01-17,云南,0.0069
2020-01-17,广西,0.006500000000000001
2020-01-17,宁夏,0.0063
2020-01-17,海南,0.0061
2020-01-17,新疆,0.0059
2020-01-17,江西,0.005600000000000001
2020-01-17,黑龙江,0.0046
2020-01-17,贵州,0.0041
2020-01-17,吉林,0.0039
2020-01-17,青海,0.0024
2020-01-17,西藏,0.0007000000000000001
2020-01-18,北京,0.1917
2020-01-18,河北,0.1331
2020-01-18,陕西,0.1197
2020-01-18,河南,0.0883
2020-01-18,内蒙古,0.0682
2020-01-18,江苏,0.06709999999999999
2020-01-18,山东,0.0525
2020-01-18,天津,0.0449
2020-01-18,浙江,0.032
2020-01-18,广东,0.0297
2020-01-18,上海,0.0295
2020-01-18,四川,0.0188
2020-01-18,湖北,0.0146
2020-01-18,辽宁,0.0128
2020-01-18,安徽,0.0111
2020-01-18,福建,0.0101
2020-01-18,重庆,0.0094
2020-01-18,湖南,0.0086
2020-01-18,甘肃,0.0069
2020-01-18,新疆,0.006500000000000001
2020-01-18,宁夏,0.0063
2020-01-18,云南,0.006
2020-01-18,广西,0.0054
2020-01-18,海南,0.0049
2020-01-18,江西,0.004699999999999999
2020-01-18,黑龙江,0.0042
2020-01-18,吉林,0.0041
2020-01-18,贵州,0.0035
2020-01-18,青海,0.0027
2020-01-18,西藏,0.0004
2020-01-19,北京,0.212
2020-01-19,河北,0.1205
2020-01-19,陕西,0.1124
2020-01-19,河南,0.0806
2020-01-19,江苏,0.07490000000000001
2020-01-19,内蒙古,0.0678
2020-01-19,天津,0.0489
2020-01-19,山东,0.0483
2020-01-19,上海,0.034
2020-01-19,浙江,0.0334
2020-01-19,广东,0.0283
2020-01-19,四川,0.0195
2020-01-19,湖北,0.0142
2020-01-19,辽宁,0.0114
2020-01-19,安徽,0.0102
2020-01-19,福建,0.0101
2020-01-19,重庆,0.0094
2020-01-19,湖南,0.008100000000000001
2020-01-19,新疆,0.0063
2020-01-19,甘肃,0.0061
2020-01-19,云南,0.0059
2020-01-19,广西,0.0054
2020-01-19,海南,0.0053
2020-01-19,宁夏,0.0053
2020-01-19,江西,0.0046
2020-01-19,黑龙江,0.0043
2020-01-19,贵州,0.0038
2020-01-19,吉林,0.0036
2020-01-19,青海,0.0025
2020-01-19,西藏,0.0005
2020-01-20,北京,0.2307
2020-01-20,河北,0.1132
2020-01-20,陕西,0.1129
2020-01-20,河南,0.0748
2020-01-20,江苏,0.07400000000000001
2020-01-20,内蒙古,0.0658
2020-01-20,天津,0.0533
2020-01-20,山东,0.0501
2020-01-20,上海,0.0339
2020-01-20,浙江,0.0326
2020-01-20,广东,0.0287
2020-01-20,四川,0.0183
2020-01-20,湖北,0.0146
2020-01-20,辽宁,0.011000000000000001
2020-01-20,安徽,0.0095
2020-01-20,重庆,0.0087
2020-01-20,福建,0.008
2020-01-20,湖南,0.0073
2020-01-20,甘肃,0.0061
2020-01-20,云南,0.005699999999999999
2020-01-20,新疆,0.005699999999999999
2020-01-20,宁夏,0.0053
2020-01-20,广西,0.0052
2020-01-20,海南,0.005
2020-01-20,江西,0.004699999999999999
2020-01-20,黑龙江,0.0038
2020-01-20,吉林,0.0031
2020-01-20,贵州,0.003
2020-01-20,青海,0.0024
2020-01-20,西藏,0.0005
2020-01-21,北京,0.2479
2020-01-21,陕西,0.1118
2020-01-21,河北,0.1072
2020-01-21,江苏,0.0779
2020-01-21,河南,0.068
2020-01-21,内蒙古,0.0677
2020-01-21,天津,0.0535
2020-01-21,山东,0.0484
2020-01-21,上海,0.034300000000000004
2020-01-21,浙江,0.0285
2020-01-21,广东,0.0268
2020-01-21,四川,0.0182
2020-01-21,湖北,0.0147
2020-01-21,辽宁,0.0109
2020-01-21,安徽,0.0102
2020-01-21,重庆,0.0089
2020-01-21,福建,0.008100000000000001
2020-01-21,湖南,0.0067
2020-01-21,云南,0.005600000000000001
2020-01-21,甘肃,0.0055000000000000005
2020-01-21,宁夏,0.0055000000000000005
2020-01-21,新疆,0.0054
2020-01-21,广西,0.0053
2020-01-21,海南,0.0044
2020-01-21,江西,0.0044
2020-01-21,吉林,0.0033
2020-01-21,贵州,0.0031
2020-01-21,黑龙江,0.0029
2020-01-21,青海,0.0024
2020-01-21,西藏,0.0005
2020-01-22,北京,0.2752
2020-01-22,陕西,0.1165
2020-01-22,河北,0.0948
2020-01-22,内蒙古,0.0695
2020-01-22,河南,0.0668
2020-01-22,江苏,0.0667
2020-01-22,天津,0.0585
2020-01-22,山东,0.0421
2020-01-22,上海,0.0356
2020-01-22,浙江,0.0265
2020-01-22,广东,0.0261
2020-01-22,四川,0.0191
2020-01-22,湖北,0.0148
2020-01-22,辽宁,0.011000000000000001
2020-01-22,重庆,0.009000000000000001
2020-01-22,安徽,0.0078
2020-01-22,湖南,0.006999999999999999
2020-01-22,福建,0.0066
2020-01-22,甘肃,0.0055000000000000005
2020-01-22,云南,0.0051
2020-01-22,新疆,0.0049
2020-01-22,广西,0.0046
2020-01-22,宁夏,0.0046
2020-01-22,江西,0.0042
2020-01-22,海南,0.0041
2020-01-22,吉林,0.003
2020-01-22,贵州,0.0028000000000000004
2020-01-22,黑龙江,0.0028000000000000004
2020-01-22,青海,0.0024
2020-01-22,西藏,0.0005
2020-01-23,北京,0.29600000000000004
2020-01-23,陕西,0.1232
2020-01-23,河北,0.08439999999999999
2020-01-23,江苏,0.0694
2020-01-23,内蒙古,0.0662
2020-01-23,河南,0.0632
2020-01-23,天津,0.0564
2020-01-23,上海,0.037000000000000005
2020-01-23,山东,0.0359
2020-01-23,广东,0.0228
2020-01-23,浙江,0.0227
2020-01-23,四川,0.0205
2020-01-23,湖北,0.0142
2020-01-23,辽宁,0.0115
2020-01-23,安徽,0.0097
2020-01-23,重庆,0.0097
2020-01-23,福建,0.006
2020-01-23,湖南,0.005699999999999999
2020-01-23,甘肃,0.0053
2020-01-23,宁夏,0.0052
2020-01-23,云南,0.005
2020-01-23,海南,0.0044
2020-01-23,新疆,0.0043
2020-01-23,广西,0.004
2020-01-23,江西,0.0037
2020-01-23,吉林,0.0032
2020-01-23,黑龙江,0.0027
2020-01-23,青海,0.0027
2020-01-23,贵州,0.0024
2020-01-23,西藏,0.0003
2020-01-24,北京,0.2844
2020-01-24,陕西,0.12710000000000002
2020-01-24,河北,0.087
2020-01-24,内蒙古,0.0726
2020-01-24,河南,0.06570000000000001
2020-01-24,江苏,0.06480000000000001
2020-01-24,天津,0.0501
2020-01-24,上海,0.0392
2020-01-24,山东,0.0375
2020-01-24,广东,0.0246
2020-01-24,浙江,0.0235
2020-01-24,四川,0.0217
2020-01-24,辽宁,0.0122
2020-01-24,湖北,0.0094
2020-01-24,安徽,0.0093
2020-01-24,重庆,0.0086
2020-01-24,宁夏,0.0062
2020-01-24,云南,0.0062
2020-01-24,福建,0.006
2020-01-24,海南,0.0058
2020-01-24,湖南,0.0058
2020-01-24,新疆,0.005
2020-01-24,甘肃,0.0049
2020-01-24,广西,0.0046
2020-01-24,江西,0.0033
2020-01-24,吉林,0.0032
2020-01-24,贵州,0.003
2020-01-24,黑龙江,0.003
2020-01-24,青海,0.0024
2020-01-24,西藏,0.0005
2020-01-25,北京,0.2394
2020-01-25,陕西,0.1431
2020-01-25,河北,0.0987
2020-01-25,河南,0.0797
2020-01-25,内蒙古,0.0759
2020-01-25,江苏,0.0577
2020-01-25,上海,0.044000000000000004
2020-01-25,天津,0.0404
2020-01-25,广东,0.032
2020-01-25,山东,0.0318
2020-01-25,浙江,0.0221
2020-01-25,四川,0.0206
2020-01-25,湖北,0.0134
2020-01-25,重庆,0.0116
2020-01-25,辽宁,0.0113
2020-01-25,海南,0.0106
2020-01-25,云南,0.0088
2020-01-25,安徽,0.008199999999999999
2020-01-25,福建,0.0072
2020-01-25,湖南,0.0059
2020-01-25,广西,0.005699999999999999
2020-01-25,新疆,0.0055000000000000005
2020-01-25,宁夏,0.0048
2020-01-25,甘肃,0.0042
2020-01-25,江西,0.0038
2020-01-25,黑龙江,0.0032
2020-01-25,吉林,0.0028000000000000004
2020-01-25,贵州,0.0022
2020-01-25,青海,0.0022
2020-01-25,西藏,0.0006
2020-01-26,河北,0.16449999999999998
2020-01-26,北京,0.1502
2020-01-26,陕西,0.147
2020-01-26,河南,0.1156
2020-01-26,内蒙古,0.1035
2020-01-26,山东,0.0412
2020-01-26,江苏,0.0352
2020-01-26,天津,0.0308
2020-01-26,上海,0.0275
2020-01-26,广东,0.0267
2020-01-26,四川,0.0213
2020-01-26,浙江,0.0169
2020-01-26,湖北,0.0165
2020-01-26,海南,0.0136
2020-01-26,重庆,0.0114
2020-01-26,安徽,0.011200000000000002
2020-01-26,云南,0.0107
2020-01-26,辽宁,0.0096
2020-01-26,福建,0.0069
2020-01-26,湖南,0.006
2020-01-26,广西,0.0059
2020-01-26,甘肃,0.0043
2020-01-26,宁夏,0.0041
2020-01-26,贵州,0.0034
2020-01-26,新疆,0.0034
2020-01-26,江西,0.0033
2020-01-26,黑龙江,0.0028000000000000004
2020-01-26,吉林,0.0023
2020-01-26,青海,0.0016
2020-01-26,西藏,0.0003
2020-01-27,河北,0.16879999999999998
2020-01-27,陕西,0.133
2020-01-27,内蒙古,0.1173
2020-01-27,北京,0.1171
2020-01-27,河南,0.1139
2020-01-27,山东,0.0565
2020-01-27,四川,0.0347
2020-01-27,江苏,0.033
2020-01-27,天津,0.027000000000000003
2020-01-27,广东,0.0246
2020-01-27,上海,0.0223
2020-01-27,安徽,0.0188
2020-01-27,海南,0.0176
2020-01-27,浙江,0.0161
2020-01-27,重庆,0.0147
2020-01-27,云南,0.0138
2020-01-27,辽宁,0.0113
2020-01-27,广西,0.0083
2020-01-27,湖南,0.0078
2020-01-27,福建,0.0073
2020-01-27,甘肃,0.0055000000000000005
2020-01-27,黑龙江,0.0048
2020-01-27,江西,0.0045000000000000005
2020-01-27,湖北,0.004
2020-01-27,宁夏,0.004
2020-01-27,贵州,0.0033
2020-01-27,吉林,0.003
2020-01-27,新疆,0.0022
2020-01-27,青海,0.0014000000000000002
2020-01-27,西藏,0.0003
2020-01-28,河北,0.1771
2020-01-28,陕西,0.139
2020-01-28,河南,0.1113
2020-01-28,内蒙古,0.10400000000000001
2020-01-28,北京,0.0943
2020-01-28,山东,0.0585
2020-01-28,四川,0.0367
2020-01-28,江苏,0.0334
2020-01-28,海南,0.0285
2020-01-28,广东,0.0254
2020-01-28,安徽,0.0244
2020-01-28,天津,0.0233
2020-01-28,上海,0.0203
2020-01-28,云南,0.0161
2020-01-28,浙江,0.0154
2020-01-28,辽宁,0.0125
2020-01-28,重庆,0.0111
2020-01-28,广西,0.0091
2020-01-28,甘肃,0.0091
2020-01-28,湖南,0.0083
2020-01-28,福建,0.0078
2020-01-28,江西,0.0071
2020-01-28,黑龙江,0.0063
2020-01-28,吉林,0.0049
2020-01-28,宁夏,0.0039
2020-01-28,贵州,0.0033
2020-01-28,新疆,0.0026
2020-01-28,湖北,0.0021
2020-01-28,青海,0.0008
2020-01-28,西藏,0.0004
2020-01-29,河北,0.17079999999999998
2020-01-29,陕西,0.1497
2020-01-29,河南,0.1199
2020-01-29,内蒙古,0.0818
2020-01-29,北京,0.07730000000000001
2020-01-29,山东,0.0536
2020-01-29,四川,0.0404
2020-01-29,江苏,0.0374
2020-01-29,海南,0.0368
2020-01-29,广东,0.027999999999999997
2020-01-29,安徽,0.0267
2020-01-29,上海,0.0183
2020-01-29,天津,0.0179
2020-01-29,辽宁,0.0165
2020-01-29,云南,0.0158
2020-01-29,浙江,0.015
2020-01-29,甘肃,0.0129
2020-01-29,湖南,0.0127
2020-01-29,重庆,0.0115
2020-01-29,江西,0.01
